Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20201B1,b,Keith Mc Mahon,False,b,6.0,True,26-05-2020,NA,NA,25-04-2020,25.0,5,7.0,NA,NA,0,NA,NA,NA,NA,3.4,3.0,3.0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,fleas hopping around,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201B10,b,Keith Mc Mahon,False,NA,6.0,True,26-05-2020,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201B100,b,Keith Mc Mahon,False,b,6.0,True,26-05-2020,NA,NA,15-04-2020,15.0,0,6.0,NA,True,0,06-05-2020,04-05-2020,34.0,11.0,NA,NA,9.0,8.0,8,48.0,15.0,8.0,0,8,11.15,8,4,j215720,afh3098,"afh3098, 01103fb0ef, 01103fdb14",NA,NA,NA,0,not hatched,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201B101,b,Keith Mc Mahon,False,b,6.0,True,26-05-2020,NA,NA,17-04-2020,17.0,0,6.0,1.0,True,0,07-05-2020,06-05-2020,36.0,12.0,3.5,3.0,8.0,8.0,8,50.0,15.0,8.0,0,8,11.81,8,4,and7457,afh3283,"afh3283, 011016b2af, and7457",NA,NA,NA,0,"not hatched female ringed, female seen on nest",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201B102,b,Keith Mc Mahon,False,NA,0.0,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201B103,b,Keith Mc Mahon,False,NA,0.0,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201B104,b,Keith Mc Mahon,False,NA,0.0,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201B105,b,Keith Mc Mahon,False,NA,0.0,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201B106,b,Keith Mc Mahon,False,NA,6.0,True,26-05-2020,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201B107,b,Keith Mc Mahon,False,NA,6.0,True,26-05-2020,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
