Record type,Retrap,Bto ring,Pit tag,Pit tag state,Bto species code,Age,Sex,Sexing method,Date time,Region,Location,Fieldworker,Wing length,Weight,Bill length method,Bill length,Bill depth method,Bill depth,Tarsus length method,Tarsus length,Fat,Fat method,Pectoral muscle,Pox,Leg condition description,Tick description,Comment,
Physical,New Capture,tr44036,'03000210f8',1,greti,1,,,29-05-2013 14:00,DEN,20131DMA48,Pepe Greno,,17.3,,,,,,,,,,false,,,,
Physical,New Capture,tr44037,'030003b297',1,greti,1,,,29-05-2013 14:00,DEN,20131DMA48,Pepe Greno,,16.2,,,,,,,,,,false,,,,
Physical,New Capture,tr44038,'030001a2e9',1,greti,1,,,29-05-2013 14:00,DEN,20131DMA48,Pepe Greno,,17.9,,,,,,,,,,false,,,,
Physical,New Capture,tr44039,'03000363d4',1,greti,1,,,29-05-2013 14:00,DEN,20131DMA48,Pepe Greno,,16.9,,,,,,,,,,false,,,,
Physical,New Capture,tr44040,'030002d6ab',1,greti,1,,,29-05-2013 14:00,DEN,20131DMA48,Pepe Greno,,18.2,,,,,,,,,,false,,,,
Physical,New Capture,tr44041,'030002d21a',1,greti,1,,,29-05-2013 14:00,DEN,20131DMA48,Pepe Greno,,17.4,,,,,,,,,,false,,,,
Physical,New Capture,tr44042,'03000235d2',1,greti,1,,,30-05-2013 10:15,WYT,20131CC3,Jack Nurse,,15.5,,,,,,,,,,false,,,,
Physical,New Capture,tr44043,'0300038505',1,greti,1,,,30-05-2013 10:15,WYT,20131CC3,Jack Nurse,,15.8,,,,,,,,,,false,,,,
Physical,New Capture,tr44044,'0300023925',1,greti,1,,,30-05-2013 10:15,WYT,20131CC3,Jack Nurse,,15.7,,,,,,,,,,false,,,,
Physical,New Capture,tr44045,'030002c1e2',1,greti,1,,,30-05-2013 10:15,WYT,20131CC3,Jack Nurse,,16.1,,,,,,,,,,false,,,,
Physical,New Capture,tr44046,'030002d1a7',1,greti,1,,,30-05-2013 10:15,WYT,20131CC3,Jack Nurse,,15.4,,,,,,,,,,false,,,,
Physical,New Capture,tr44047,'030002086b',1,greti,1,,,30-05-2013 10:15,WYT,20131CC3,Jack Nurse,,15.4,,,,,,,,,,false,,,,
Physical,New Capture,tr44048,'030001a38e',1,greti,1,,,30-05-2013 10:15,WYT,20131CC3,Jack Nurse,,16.6,,,,,,,,,,false,,,,
Physical,New Capture,tr44049,'030002d30d',1,greti,1,,,30-05-2013 11:15,WYT,20131H9,Jack Nurse,,13.6,,,,,,,,,,false,,,,
Physical,New Capture,tr44050,'030002cff1',1,greti,1,,,30-05-2013 11:15,WYT,20131H9,Jack Nurse,,14.4,,,,,,,,,,false,,,,
Physical,New Capture,tr44051,'0300027071',1,greti,1,,,30-05-2013 11:15,WYT,20131H9,Jack Nurse,,12.1,,,,,,,,,,false,,,,
