Box,Section,x,y,type, poly,edge(EDI),altitude(m),aspect,northness,habitat type,soil type
C146,C,446628.72,206934.76,G,207.552,1.33403,110.829,236.894,-0.546189684,5,2
B5,B,447829.72,207426.76,G,220.648,1.43621,117.191,85.564,0.07734548,5,2
B145,B,447527.72,207497.76,G,248.425,126.723,131.58,9.36341,0.986676263,5,1
C50,C,446617.33,206815.71,G,267.951,1.48749,103.361,247.637,-0.380473251,5,2
C147,C,446621.72,206927.76,G,311.19,7.14938,109.586,238.518,-0.522230674,5,2
B44,B,447530.23,207487.25,G,324.889,116.117,132.16,12.7792,0.975229718,5,1
C150,C,446621.33,206825.71,G,336.7,2.93312,104.161,255.852,-0.244427444,5,2
C153,C,446584.72,206789.76,G,343.25,2.22732,98.9197,250.334,-0.336536519,5,3
B128,B,447731.72,207685.76,G,349.088,185.005,106.886,34.7703,0.821444935,5,2
C144,C,446597.72,206983.76,G,349.144,2.36591,112.225,210.195,-0.864318695,5,2
B45,B,447522.72,207498.76,G,379.217,129.828,131.62,7.94039,0.990412327,5,1
C154,C,446591.33,206803.71,G,379.398,4.75973,100.282,251.28,-0.32094361,5,3
B129,B,447715.72,207690.76,G,423.258,201.496,107.667,25.8463,0.899966773,5,2
B147,B,447564.72,207496.76,G,423.889,110.624,130.881,39.0679,0.776399622,5,1
C145,C,446610.72,206966.76,G,424.569,2.02355,111.748,213.373,-0.835107178,5,2
C43,C,446563.72,206999.76,G,425.819,4.2312,111.795,219.339,-0.773408902,5,2
C47,C,446632.72,206921.76,G,459.896,3.00095,110.382,242.482,-0.462027253,5,2
B141,B,447526.72,207414.76,G,475.247,61.6237,136.957,14.741,0.96708592,5,1
B4,B,447845.72,207474.76,G,480.511,1.48104,112.48,75.7734,0.245757432,5,2
B34,B,447690.72,207545.76,G,491.123,153.088,121.013,56.1682,0.556756738,5,1
C117,C,446435.72,206593.76,G,492.753,2.57905,85.6255,170.633,-0.986666067,5,3
B66,B,447465.72,207511.76,G,497.739,172.722,131.221,8.21794,0.989731524,5,1
C120,C,446434.72,206739.76,G,529.162,54.5386,92.8962,178.314,-0.999567079,5,3
B204,B,447919.72,207754.76,G,550.088,55.1856,84.1176,46.46,0.688860815,5,3
B47,B,447547.72,207503.76,G,550.443,123.872,130.817,23.5545,0.916680368,5,1
B2,B,447805.72,207531.76,G,560.966,47.9263,112.252,40.6332,0.758894089,5,2
B142,B,447504.72,207456.76,G,569.944,106.056,134.5,27.0169,0.890872576,5,1
B38,B,447613.72,207496.76,G,576.542,103.325,129.563,55.2649,0.569783071,5,1
O27A,O,445122.72,207833.76,G,581.914,0.282111,109.411,147.901,-0.847131196,5,3
B65,B,447475.72,207556.76,G,583.124,203.222,128.08,1.7292,0.999544611,5,1
C26,C,446394.72,206812.76,G,585.44,128.595,97.8985,192.896,-0.974776778,5,3
C118,C,446455.72,206687.76,G,586.235,14.7456,90.5098,169.968,-0.984710616,5,3
C59,C,446421.72,207056.76,G,588.556,4.36517,114.613,171.867,-0.98994234,5,2
B42,B,447521.72,207412.76,G,603.768,65.4062,137.124,15.005,0.965903236,5,1
B170,B,447556.72,207397.76,G,605.668,23.7453,137.692,11.1694,0.98105875,5,1
C149,C,446631.33,206833.71,G,608.988,1.84476,105.481,260.911,-0.157968494,5,2
C52,C,446553.72,206780.76,G,615.691,2.91101,95.5739,249.777,-0.345674906,5,3
B64,B,447470.72,207550.76,G,616.838,200.731,128.54,1.54619,0.999635897,5,1
B70,B,447547.72,207358.76,G,618.162,17.983,139.687,25.8271,0.900112813,3,1
B104,B,447838.32,207450.9,G,621.747,2.65996,114.361,96.3732,-0.111004087,5,2
C111,C,446227.33,206593.71,G,645.793,2.20571,86.8934,169.701,-0.983888158,5,3
B146,B,447556.72,207510.76,G,653.056,126.511,130.192,27.2922,0.888679663,5,1
C139,C,446467.72,206984.76,G,654.095,51.1806,105.316,190.452,-0.983407232,5,2
B43,B,447567.72,207480.76,G,659.331,94.6471,131.664,48.43,0.663534575,5,1
C12,C,446248.33,206605.71,G,659.82,18.3412,87.4902,171.362,-0.988656988,5,3
B51,B,447646.72,207615.76,G,665.787,222.371,119.186,20.882,0.934316501,5,1
B179,B,447449.72,207766.76,G,670.343,96.9168,113.662,31.9592,0.848425234,5,2
B18,B,447895.72,207732.76,G,674.007,61.0565,88.1187,56.9325,0.545626692,5,3
C138,C,446475.72,206954.76,G,683.13,80.2588,100.712,195.773,-0.962346196,5,2
B71,B,447568.72,207405.76,G,684.662,21.5165,136.459,22.0529,0.926837593,5,1
C140,C,446457.72,206999.76,G,684.761,39.0925,107.808,178.846,-0.999797175,5,2
B107,B,447777.74,207455.59,G,697.875,41.9153,120.446,52.2112,0.612752585,5,2
B205,B,447877.72,207724.76,G,710.239,71.2958,90.2378,75.1112,0.256943884,5,3
B102,B,447821.72,207526.81,G,710.786,28.9764,111.149,32.1753,0.846422808,5,2
B208,B,447583.72,207817.76,G,712.708,58.645,104.151,118.655,-0.47953444,5,3
B142A,B,447515.72,207445.76,G,716.269,90.5838,134.967,26.1392,0.897726373,5,1
B57,B,447524.72,207609.76,G,726.567,230.378,123.92,24.825,0.907594372,5,1
C128,C,446410.72,206785.76,G,726.875,101.269,95.9306,184.693,-0.99664739,5,3
C48,C,446661.33,206884.71,G,727.332,1.9052,111.373,263.091,-0.120292779,5,2
C44,C,446583.72,206987.76,G,730.675,4.62404,111.72,212.28,-0.845448306,5,2
C20,C,446430.72,206728.76,G,733.443,53.2713,92.5363,187.114,-0.992301707,5,3
MP9,MP,448078.72,207818.76,G,734.422,3.85503,71.8843,23.6092,0.916298434,3,3
B20,B,447946.72,207757.76,G,735.163,38.9451,80.8873,49.9067,0.644034178,5,3
C116,C,446404.72,206597.76,G,738.513,4.56526,85.8654,173.581,-0.9937309,5,3
C119,C,446476.72,206708.76,G,743.533,4.09959,91.3504,158.067,-0.927621274,5,3
C21,C,446460.72,206724.76,G,749.22,21.0872,91.9908,178.92,-0.999822352,5,3
C60,C,446397.33,207064.71,G,754.918,3.90206,116.267,172.14,-0.990605176,5,2
B105,B,447818.72,207429.76,G,759.858,6.69994,118.018,92.7689,-0.048307613,5,2
B1,B,447796.72,207573.76,G,762.752,77.4375,109.493,63.7505,0.442280864,5,2
B28,B,447745.72,207696.76,G,766.515,177.248,104.666,40.1938,0.763865869,5,2
C121,C,446443.72,206706.76,G,768.258,31.0283,91.3957,182.73,-0.998865073,5,3
B171,B,447580.72,207416.76,G,778.694,26.0834,135.023,28.5241,0.87861633,5,1
B84,B,447596.72,207823.76,G,780.441,60.717,103.215,117.598,-0.4632651,5,3
B30,B,447699.72,207701.81,G,782.456,220.693,107.801,41.15,0.752989437,5,2
MP4,MP,448057.72,207841.81,G,790.571,4.97762,71.8903,41.0052,0.754650035,3,3
C124,C,446418.72,206798.76,G,790.749,100.981,96.5514,174.309,-0.995071159,5,3
B113,B,447736.72,207671.76,G,796.588,174.282,107.886,45.6723,0.69876121,5,2
B106,B,447800.72,207405.76,G,799.486,1.50931,120.721,77.2399,0.220869363,5,2
B138,B,447590.72,207502.76,G,802.192,110.225,129.975,49.7925,0.645557663,5,1
B110,B,447773.72,207567.76,G,806.438,95.0286,112.732,51.7179,0.619533826,5,2
B144,B,447505.72,207485.76,G,811.243,127.432,132.741,14.9837,0.965999418,5,1
MP16,MP,448190.72,207683.76,G,811.61,4.59703,75.5315,30.1213,0.864964922,3,3
C42,C,446533.94,207017.58,G,829.135,1.56744,111.347,188.298,-0.989530827,5,2
B143,B,447534.72,207473.76,G,832.436,102.082,132.88,14.6396,0.967534722,5,1
