year,pnum,nestbox,clear_date,missing_entire_brood,suspected_predation,lay_date,april_lay_date,lay_date_visit_interval,laying_rate,incubation_started,num_broken_eggs,hatch_date,april_hatch_date,incubation_duration,total_egg_weight,num_eggs_weighed,clutch_size,num_chicks,num_chicks_ringed,april_ring_date,ring_day,num_live_chicks,num_dead_chicks,num_fledglings,mean_chick_weight,father,mother,resident,natal_box,year_born,bto_age,age,x,y,type,poly,edge_edi,altitude_m,aspect,northness,habitat_type,soil_type,recorded,total_recordings,missing_recordings,first_recorded,last_recorded,delay,n_vocalisations,repertoire_size
2013,20131B1,B1,2013-06-20,,,2013-05-01,31.0,7.0,,True,0,,,,4.9,3.0,5.0,,0,,,,0,0,,,,,,,,,447796.72,207573.76,G,762.752,77.4375,109.493,63.7505,0.442280864,5.0,2.0,False,0,0,,,,0,
2013,20131B10,B10,2013-06-11,,,2013-04-29,29.0,7.0,,True,0,2013-05-22,52.0,16.0,5.1,3.0,8.0,8.0,4,66.0,15.0,4.0,2,3,16.85,tp42330,tr40590,False,,,4.0,unknown,447762.72,207546.76,G,1842.32,97.2329,115.701,53.4839,0.595048645,5.0,2.0,False,0,0,,,,0,
2013,20131B107,B107,2013-06-09,,,2013-05-08,38.0,7.0,,True,0,2013-05-29,59.0,15.0,5.3,3.0,7.0,6.0,0,,,,6,0,,tr40031,tr42336,False,,,4.0,unknown,447777.74,207455.59,G,697.875,41.9153,120.446,52.2112,0.612752585,5.0,2.0,False,0,0,,,,0,
2013,20131B11,B11,2013-05-30,,,2013-04-28,28.0,0.0,,True,0,2013-05-26,56.0,24.0,7.2,4.0,5.0,3.0,0,,,,0,0,,,,,,,,,447748.72,207573.76,G,1304.14,119.942,115.2,53.8953,0.589262635,5.0,2.0,False,0,0,,,,0,
2013,20131B112,B112,2013-06-17,,,2013-05-06,36.0,7.0,,True,0,2013-05-25,55.0,13.0,,,7.0,4.0,3,69.0,15.0,4.0,0,3,15.2,x235604,l809433,False,,,6.0,adult,447766.72,207641.76,G,1351.99,134.206,107.653,51.3873,0.624052811,5.0,2.0,False,0,0,,,,0,
2013,20131B122,B122,2013-06-19,,,2013-05-08,38.0,7.0,,True,0,2013-05-28,58.0,16.0,,,5.0,5.0,4,72.0,15.0,4.0,0,4,18.45,tl37733,y837438,False,,,6.0,adult,447907.72,207820.76,G,2519.76,116.125,79.2122,42.3229,0.739362046,5.0,3.0,False,0,0,,,,0,
2013,20131B125,B125,2013-06-23,,,2013-05-12,42.0,7.0,,True,0,2013-05-31,61.0,15.0,,,5.0,5.0,5,75.0,15.0,5.0,0,5,17.86,tr42899,y837456,False,,2012.0,5.0,1,447825.72,207780.76,G,902.276,146.752,91.7979,21.2524,0.931992687,5.0,3.0,False,0,0,,,,0,
2013,20131B137,B137,2013-06-03,,,2013-04-27,27.0,6.0,,True,0,2013-05-19,49.0,16.0,5.6,3.0,7.0,7.0,0,,,,0,0,,ts45261,y031486,False,,,4.0,unknown,447627.72,207477.76,G,1775.98,84.3006,129.534,56.2,0.556295616,5.0,1.0,False,0,0,,,,0,
2013,20131B150,B150,2013-06-13,,,2013-05-09,39.0,7.0,,True,0,,,,7.1,4.0,4.0,,0,,,,0,0,,,,,,,,,447611.72,207617.76,G,1203.66,224.301,120.466,20.9374,0.933971413,5.0,1.0,False,0,0,,,,0,
2013,20131B159,B159,2013-06-11,,,2013-04-28,28.0,6.0,1.0,True,0,2013-05-19,49.0,14.0,7.3,4.0,8.0,8.0,6,63.0,15.0,6.0,0,6,13.2,tp25892,y035692,False,,,4.0,unknown,447479.24,207694.76,G,1488.55,169.339,119.314,344.814,0.965080531,5.0,2.0,False,0,0,,,,0,
2013,20131B163,B163,2013-06-23,,,2013-05-05,35.0,6.0,1.33,True,0,2013-05-28,58.0,16.0,6.1,4.0,8.0,4.0,3,72.0,15.0,3.0,0,3,16.13,l315096,l315098,False,,,6.0,adult,447469.72,207578.76,G,1737.5,225.213,126.88,135.911,-0.71825989,5.0,1.0,False,0,0,,,,0,
2013,20131B172,B172,2013-06-11,,,2013-05-05,35.0,6.0,1.33,True,0,2013-05-29,59.0,16.0,6.4,4.0,9.0,9.0,0,,,,5,0,,,ts45004,,,,,,447621.72,207400.76,G,1175.65,5.56075,133.224,38.9402,0.777802364,5.0,1.0,False,0,0,,,,0,
2013,20131B176,B176,2013-06-13,,,2013-05-06,36.0,7.0,,True,0,,,,,,7.0,,0,,,,0,0,,,,,,,,,447668.72,207668.76,G,1648.0,231.987,113.391,37.7359,0.790840211,5.0,2.0,False,0,0,,,,0,
2013,20131B181,B181,2013-06-17,,,2013-05-05,35.0,6.0,1.33,True,0,2013-05-27,57.0,16.0,6.4,4.0,7.0,7.0,7,71.0,15.0,7.0,1,6,16.41,l315437,l808500,False,,,4.0,unknown,447524.72,207793.76,G,1288.46,71.3919,109.583,81.48,0.148154634,5.0,2.0,False,0,0,,,,0,
2013,20131B186,B186,2013-05-29,,,2013-05-02,32.0,7.0,,True,0,2013-05-23,53.0,16.0,5.1,3.0,6.0,5.0,0,,,,5,0,,,,,,,,,447709.72,207935.76,G,2209.5,64.7987,88.4382,73.7647,0.279582691,5.0,3.0,False,0,0,,,,0,
