record_type,retrap,bto_ring,pit_tag,pit_tag_state,species,age,sex,sexing_method,date_time,year,region,location,fieldworker,wing_length,weight,bill_length_method,bill_length,bill_depth_method,bill_depth,tarsus_length_method,tarsus_length,fat,fat_method,pectoral_muscle,pox,leg_condition_description,tick_description,comment
physical,new_capture,y839001,2a006cf6e0,1,g,6,m,cp,2013-05-21 15:30:00,2013,wyt,20131C10,josh_firth,76.0,18.9,NA,NA,NA,NA,m,22.6,NA,NA,NA,NA,NA,NA,NA
physical,retrap,tp28712,2a006d75c9,4,g,6,f,bp,2013-05-21 15:45:00,2013,wyt,20131C9A,josh_firth,75.0,NA,NA,NA,NA,NA,m,23.3,NA,NA,NA,NA,NA,NA,previous_tag_empty
physical,retrap,tj26160,NA,2,g,6,m,cp,2013-05-21 16:00:00,2013,wyt,20131C3B,josh_firth,78.0,19.7,NA,NA,NA,NA,m,23.6,NA,NA,NA,NA,NA,NA,NA
physical,retrap,l315401,NA,2,g,4,f,bp,2013-05-21 16:15:00,2013,wyt,20131C3B,josh_firth,74.0,17.9,NA,NA,NA,NA,m,23.2,NA,NA,NA,NA,NA,NA,NA
physical,retrap,tp25735,0416ed156d,3,g,6,f,bp,2013-05-22 10:00:00,2013,wyt,20131C10,josh_firth,75.0,18.1,NA,NA,NA,NA,m,23.2,NA,NA,NA,NA,NA,NA,NA
physical,retrap,y836964,2a006d9686,3,g,6,m,cp,2013-05-22 10:10:00,2013,wyt,20131C9A,josh_firth,74.0,19.0,NA,NA,NA,NA,m,24.2,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,tp41729,0416ed0705,3,g,4,m,ib,2013-05-22 12:00:00,2013,wyt,20131MP7,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,y164640,2a006d14f1,3,g,4,f,ib,2013-05-22 12:00:00,2013,wyt,20131CC3,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,tp42939,2a006d1d29,3,g,4,f,ib,2013-05-22 12:00:00,2013,wyt,20131H9,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,ts44940,2a006d0888,3,g,4,f,ib,2013-05-22 12:00:00,2013,wyt,20131MP25,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,l808679,2a006d9f4f,3,g,4,f,ib,2013-05-22 12:00:00,2013,wyt,20131MP52,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,tp28095,2a006d93c0,3,g,4,f,ib,2013-05-22 12:00:00,2013,wyt,20131ST26,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,x239992,2a006d6ce9,3,g,4,m,ib,2013-05-22 12:00:00,2013,wyt,20131CC3,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,y160579,2a006d9cb8,3,g,4,m,ib,2013-05-22 12:00:00,2013,wyt,20131MP25,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,tr42705,2a006cfea2,3,g,4,m,ib,2013-05-22 12:00:00,2013,wyt,20131MP52,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,tp25566,2a006da126,3,g,4,m,ib,2013-05-22 12:00:00,2013,wyt,20131ST26,ross_crates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,y035838,2a006d9cf4,3,g,4,f,ib,2013-05-23 08:00:00,2013,wyt,20131C113,josh_firth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diurnal,retrap,y161048,2a006dabd5,3,g,4,m,ib,2013-05-23 08:00:00,2013,wyt,20131C113,josh_firth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
physical,retrap,tp26016,2a006db355,3,g,6,f,bp,2013-05-23 08:19:00,2013,bag,20131WW17,simon_evans,73.5,16.9,NA,NA,NA,NA,m,22.6,NA,NA,NA,False,NA,1_x_left_eye,NA
physical,new_capture,y839002,2a006dc011,1,g,5,f,bp,2013-05-23 11:00:00,2013,wyt,20131C106,josh_firth,74.0,18.1,NA,NA,NA,NA,m,22.6,NA,NA,NA,NA,NA,NA,NA
physical,new_capture,tp42703,2a006d1df7,1,g,1,NA,NA,2013-05-23 13:00:00,2013,wyt,20131C3B,josh_firth,NA,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
