pnum,year,timedate,date,time_min,sunrise,sunrise_min,diff_time
20211O58,2021,2021-04-16 04:38:48.173333,2021-04-16,278,2021-04-16 05:06:57.881000+00:00,306,-28
20211O58,2021,2021-04-17 04:43:26.272000,2021-04-17,283,2021-04-17 05:04:49.003674+00:00,304,-21
20211O58,2021,2021-04-18 04:47:12.246667,2021-04-18,287,2021-04-18 05:02:40.924716+00:00,302,-15
20211O60,2021,2021-04-21 04:19:01.416000,2021-04-21,259,2021-04-21 04:56:21.847588+00:00,296,-37
20211O60,2021,2021-04-22 04:19:23.050667,2021-04-22,259,2021-04-22 04:54:17.334440+00:00,294,-35
20211O66,2021,2021-04-15 04:37:21.269333,2021-04-15,277,2021-04-15 05:09:07.520545+00:00,309,-32
20211O7,2021,2021-04-22 04:18:00.400000,2021-04-22,258,2021-04-22 04:54:17.334440+00:00,294,-36
20211O7,2021,2021-04-23 04:19:18.304000,2021-04-23,259,2021-04-23 04:52:13.808673+00:00,292,-33
20211O7,2021,2021-04-24 04:15:23.589333,2021-04-24,255,2021-04-24 04:50:11.309838+00:00,290,-35
20211O75B,2021,2021-04-29 04:16:08.016000,2021-04-29,256,2021-04-29 04:40:15.646887+00:00,280,-24
20211O75C,2021,2021-04-25 04:28:08.096000,2021-04-25,268,2021-04-25 04:48:09.878095+00:00,288,-20
20211O75C,2021,2021-04-26 04:29:18.372000,2021-04-26,269,2021-04-26 04:46:09.554219+00:00,286,-17
20211O75C,2021,2021-04-27 04:37:42.560000,2021-04-27,277,2021-04-27 04:44:10.379607+00:00,284,-7
20211O75D,2021,2021-04-17 04:39:16.890667,2021-04-17,279,2021-04-17 05:04:49.003674+00:00,304,-25
20211O75D,2021,2021-04-18 04:28:03.242667,2021-04-18,268,2021-04-18 05:02:40.924716+00:00,302,-34
20211O76,2021,2021-04-28 04:27:34.453333,2021-04-28,267,2021-04-28 04:42:12.396280+00:00,282,-15
20211O76,2021,2021-04-29 04:18:01.957333,2021-04-29,258,2021-04-29 04:40:15.646887+00:00,280,-22
20211O76,2021,2021-04-30 04:09:26.144000,2021-04-30,249,2021-04-30 04:38:20.174704+00:00,278,-29
20211O77,2021,2021-04-19 04:32:36.864000,2021-04-19,272,2021-04-19 05:00:33.680803+00:00,300,-28
20211O77,2021,2021-04-20 04:33:18.688000,2021-04-20,273,2021-04-20 04:58:27.309164+00:00,298,-25
20211O77,2021,2021-04-21 04:27:40.752000,2021-04-21,267,2021-04-21 04:56:21.847588+00:00,296,-29
20211O83,2021,2021-04-20 04:30:12.706667,2021-04-20,270,2021-04-20 04:58:27.309164+00:00,298,-28
20211O83,2021,2021-04-21 04:22:43.980000,2021-04-21,262,2021-04-21 04:56:21.847588+00:00,296,-34
20211CP40A,2021,2021-04-07 04:55:12.533333,2021-04-07,295,2021-04-07 05:26:47.900370+00:00,326,-31
20211CP40A,2021,2021-04-08 04:54:11.829000,2021-04-08,294,2021-04-08 05:24:33.406551+00:00,324,-30
20211CP40A,2021,2021-04-09 04:52:56.876000,2021-04-09,292,2021-04-09 05:22:19.402706+00:00,322,-30
